case_id,z,z_next,sim
s0000,0,1,0.9017244672839814
s0000,1,2,0.890453924238535
s0000,2,3,0.8605424513372885
s0000,3,4,0.8485956107297973
s0000,4,5,0.8604463124912729
s0000,5,6,0.8690368231064936
s0000,6,7,0.8592767420104573
s0000,7,8,0.8552925971292409
s0000,8,9,0.8418332762578894
s0000,9,10,0.8442578584442584
s0000,10,11,0.8409552121787798
s0000,11,12,0.845180753134583
s0000,12,13,0.8614238165033061
s0000,13,14,0.8582347354152731
s0000,14,15,0.8710658906802574
s0000,15,16,0.8724112404058398
s0000,16,17,0.8771273905337313
s0000,17,18,0.8617428307394592
s0000,18,19,0.8567863432953583
s0000,19,20,0.8430280963498976
s0000,20,21,0.8292635590855014
s0000,21,22,0.830973286921719
s0000,22,23,0.8332764317740398
s0000,23,24,0.8338493280020298
s0000,24,25,0.8316008675564435
s0000,25,26,0.838053347947507
s0000,26,27,0.8509547756182866
s0000,27,28,0.8580835393506768
s0000,28,29,0.8393705641250895
s0000,29,30,0.8364383154387399
s0000,30,31,0.8383148740375431
s0001,0,1,0.62576124409896
s0001,1,2,0.7811198733049063
s0001,2,3,0.7640127041717613
s0001,3,4,0.787023851510329
s0001,4,5,0.7961054022248215
s0001,5,6,0.7569931936152227
s0001,6,7,0.7887335117613802
s0001,7,8,0.7656333328374035
s0001,8,9,0.7563874116656228
s0001,9,10,0.7759755559860926
s0001,10,11,0.7633516067248927
s0001,11,12,0.7689521515394759
s0001,12,13,0.7829015948272715
s0001,13,14,0.7898145955234764
s0001,14,15,0.8091997404267248
s0001,15,16,0.814054917857741
s0001,16,17,0.8096276671538968
s0001,17,18,0.8000477169701989
s0001,18,19,0.7763205471645155
s0001,19,20,0.7693115867583182
s0001,20,21,0.7644141930442536
s0001,21,22,0.7328319707166453
s0001,22,23,0.7303420519587225
s0001,23,24,0.7671373574788475
s0001,24,25,0.7868601376241603
s0001,25,26,0.7984971288730488
s0001,26,27,0.8026013984169718
s0001,27,28,0.7871718933905203
s0001,28,29,0.7670205832107859
s0001,29,30,0.7672281663417542
s0001,30,31,0.4976943849340446
s0002,0,1,0.3885802758518999
s0002,1,2,0.6865479859308281
s0002,2,3,0.7416915581372888
s0002,3,4,0.7822993763467493
s0002,4,5,0.779044967707749
s0002,5,6,0.7830120708324707
s0002,6,7,0.7837617872111833
s0002,7,8,0.8111670185407137
s0002,8,9,0.8155104580707608
s0002,9,10,0.8127203626202792
s0002,10,11,0.8095966494726152
s0002,11,12,0.8024930702223735
s0002,12,13,0.8369320940725505
s0002,13,14,0.8762412581283876
s0002,14,15,0.9081627714625012
s0002,15,16,0.8979248332264511
s0002,16,17,0.8814003386653508
s0002,17,18,0.8558738192608878
s0002,18,19,0.8349367056126458
s0002,19,20,0.8535959946286145
s0002,20,21,0.857593662601126
s0002,21,22,0.8719669735836163
s0002,22,23,0.8584341441335797
s0002,23,24,0.8378696864819124
s0002,24,25,0.8079990609934818
s0002,25,26,0.8040401074484078
s0002,26,27,0.7674675363321677
s0002,27,28,0.7820768339803882
s0002,28,29,0.7802670977838968
s0002,29,30,0.7920638357022797
s0002,30,31,0.5334334742996758
s0003,0,1,0.6648989523283497
s0003,1,2,0.6759174887944716
s0003,2,3,0.6811712421329487
s0003,3,4,0.6699453098174541
s0003,4,5,0.6418758992887836
s0003,5,6,0.6302186995333438
s0003,6,7,0.6346544074559752
s0003,7,8,0.661049519127485
s0003,8,9,0.6916166034888522
s0003,9,10,0.6859402545136936
s0003,10,11,0.7225096415848653
s0003,11,12,0.7211523322214002
s0003,12,13,0.7234216573795722
s0003,13,14,0.7287441799075531
s0003,14,15,0.6942204899296872
s0003,15,16,0.6592925370111188
s0003,16,17,0.6431244797301952
s0003,17,18,0.8179160483646069
s0003,18,19,0.8010512039237936
s0003,19,20,0.7660103540051939
s0003,20,21,0.7690054134533632
s0003,21,22,0.7815824489081737
s0003,22,23,0.7967135820282675
s0003,23,24,0.7810778605943146
s0003,24,25,0.7528403891562362
s0003,25,26,0.7357791521591536
s0003,26,27,0.6935364659670261
s0003,27,28,0.6685222469991448
s0003,28,29,0.6595052462328083
s0003,29,30,0.6761115208871187
s0003,30,31,0.7390227647419588
s0004,0,1,0.052005569800223014
s0004,1,2,0.6399355609565871
s0004,2,3,0.6484367622728741
s0004,3,4,0.660651161528183
s0004,4,5,0.6704461055982618
s0004,5,6,0.6520837697910512
s0004,6,7,0.6550584320930097
s0004,7,8,0.598547484751893
s0004,8,9,0.5695181956205647
s0004,9,10,0.5732503959455514
s0004,10,11,0.6802275079597218
s0004,11,12,0.6663690220830312
s0004,12,13,0.6846627472378335
s0004,13,14,0.7478782301474022
s0004,14,15,0.7465604361225742
s0004,15,16,0.7443388004370186
s0004,16,17,0.7421570943171433
s0004,17,18,0.7692342656639959
s0004,18,19,0.7712864028089956
s0004,19,20,0.761878359506494
s0004,20,21,0.7193956469339723
s0004,21,22,0.656941621607905
s0004,22,23,0.6465997876579014
s0004,23,24,0.5866843925411253
s0004,24,25,0.5464118060944589
s0004,25,26,0.5366479172289337
s0004,26,27,0.5410659755134507
s0004,27,28,0.534712495012413
s0004,28,29,0.573901130268253
s0004,29,30,0.5763497197973372
s0004,30,31,0.14719706651129214
s0006,0,1,0.7435244359609129
s0006,1,2,0.7400181963160349
s0006,2,3,0.7255250145831046
s0006,3,4,0.7330793141089058
s0006,4,5,0.7379977603175747
s0006,5,6,0.7317147887101041
s0006,6,7,0.7359245791379577
s0006,7,8,0.7291728543043716
s0006,8,9,0.6823858477654206
s0006,9,10,0.6756642823394193
s0006,10,11,0.6638889593752499
s0006,11,12,0.6406149882736657
s0006,12,13,0.6254027215847877
s0006,13,14,0.6051754251453552
s0006,14,15,0.614438467679992
s0006,15,16,0.6586956551638837
s0006,16,17,0.6638255460929142
s0006,17,18,0.6858666569927868
s0006,18,19,0.7245200270434565
s0006,19,20,0.7539123536332085
s0006,20,21,0.7603993134974497
s0006,21,22,0.752647897231942
s0006,22,23,0.7661480800547651
s0006,23,24,0.7592262561731932
s0006,24,25,0.7471957583763037
s0006,25,26,0.7251167816201299
s0006,26,27,0.6996411438555713
s0006,27,28,0.6876018807737536
s0006,28,29,0.7112361472759976
s0006,29,30,0.7333650923006403
s0006,30,31,0.7241187500298125
s0009,0,1,0.6954770614595496
s0009,1,2,0.6628416810213912
s0009,2,3,0.6875996093973927
s0009,3,4,0.7003563300292934
s0009,4,5,0.6639958237984257
s0009,5,6,0.6414133060355934
s0009,6,7,0.6196437961653468
s0009,7,8,0.6394932614830374
s0009,8,9,0.634098492645407
s0009,9,10,0.6313805816071513
s0009,10,11,0.6022087600776608
s0009,11,12,0.6014705317927224
s0009,12,13,0.6222541501693543
s0009,13,14,0.6519624152575466
s0009,14,15,0.6910309731635705
s0009,15,16,0.7043506093770762
s0009,16,17,0.7358249669063673
s0009,17,18,0.7353629214164268
s0009,18,19,0.7617133380060491
s0009,19,20,0.7067308776035485
s0009,20,21,0.7147007364996282
s0009,21,22,0.7637747914702846
s0009,22,23,0.7473720987947627
s0009,23,24,0.7263140998458274
s0009,24,25,0.7406191778656477
s0009,25,26,0.7385447609567414
s0009,26,27,0.7514273536274381
s0009,27,28,0.7690464531006219
s0009,28,29,0.7548184855001329
s0009,29,30,0.7363554076781542
s0009,30,31,0.7669142317852757
s0010,0,1,0.822554245716369
s0010,1,2,0.797536157760048
s0010,2,3,0.8096945992377699
s0010,3,4,0.7915464601775233
s0010,4,5,0.7937577756533879
s0010,5,6,0.7968804849494401
s0010,6,7,0.7927707236299768
s0010,7,8,0.7896628409272356
s0010,8,9,0.7482938393646206
s0010,9,10,0.7252994172560074
s0010,10,11,0.6989908661796129
s0010,11,12,0.6725592654174684
s0010,12,13,0.6829015248996038
s0010,13,14,0.6743389086084867
s0010,14,15,0.7024008715111967
s0010,15,16,0.7315904717374913
s0010,16,17,0.7549242834365955
s0010,17,18,0.7326528280997141
s0010,18,19,0.7298294912981788
s0010,19,20,0.7300516551252714
s0010,20,21,0.7373741012354291
s0010,21,22,0.7447300680312058
s0010,22,23,0.74063318345883
s0010,23,24,0.7408764512335287
s0010,24,25,0.7207526989651716
s0010,25,26,0.718512157549855
s0010,26,27,0.6943992660366552
s0010,27,28,0.6897490668512801
s0010,28,29,0.6867019304198198
s0010,29,30,0.6867225535711445
s0010,30,31,0.6946612355262686
s0012,0,1,0.7036545330164548
s0012,1,2,0.7022419947838621
s0012,2,3,0.6885917182311313
s0012,3,4,0.6338102504999666
s0012,4,5,0.6329717245117423
s0012,5,6,0.6952463183348679
s0012,6,7,0.7255239757457701
s0012,7,8,0.7321458279208838
s0012,8,9,0.6863469901600431
s0012,9,10,0.597747963253311
s0012,10,11,0.5984626180073453
s0012,11,12,0.6244331831253986
s0012,12,13,0.6144123194568315
s0012,13,14,0.6788647807814204
s0012,14,15,0.714541461596611
s0012,15,16,0.7357367161191868
s0012,16,17,0.7263696000683885
s0012,17,18,0.6919190242996788
s0012,18,19,0.6874179671241161
s0012,19,20,0.6882649478461066
s0012,20,21,0.6949534114288123
s0012,21,22,0.7351380985114643
s0012,22,23,0.749713678774059
s0012,23,24,0.7587202274610663
s0012,24,25,0.7543214843194734
s0012,25,26,0.7149801107644698
s0012,26,27,0.6456554653570468
s0012,27,28,0.5910465418593033
s0012,28,29,0.5781658934389683
s0012,29,30,0.5735680791907748
s0012,30,31,0.5799901380067277
s0021,0,1,0.5649904546972531
s0021,1,2,0.5823465246438354
s0021,2,3,0.5793011174913243
s0021,3,4,0.5667134287284306
s0021,4,5,0.5761083942292374
s0021,5,6,0.5902487049343826
s0021,6,7,0.6217509734213634
s0021,7,8,0.6236296297528094
s0021,8,9,0.6217980912464772
s0021,9,10,0.6136525632226274
s0021,10,11,0.6142076319210555
s0021,11,12,0.6225014455809025
s0021,12,13,0.6559902861511602
s0021,13,14,0.677406363908023
s0021,14,15,0.6777377658097632
s0021,15,16,0.7094270670698342
s0021,16,17,0.7078480296040296
s0021,17,18,0.7269798962614423
s0021,18,19,0.7332887317038773
s0021,19,20,0.7169106832101281
s0021,20,21,0.7822329031846481
s0021,21,22,0.7847385782247254
s0021,22,23,0.7827051986894523
s0021,23,24,0.7918072869468714
s0021,24,25,0.7830066957668338
s0021,25,26,0.7214532447224437
s0021,26,27,0.6679021046407
s0021,27,28,0.6992515861869172
s0021,28,29,0.7479501216413718
