template,count
where is the <ent> located in the image,17
where are the <ent> located in the image,13
where is the <ent> in the image,13
where can we find the <ent> in the image,10
can you segment the <ent> in the <lat> <ent>,9
where is the <ent> located in the <lat> <ent>,9
can you segment the area with <ent> in the image,8
where does the <ent> appear in the image,8
please segment where the <ent> appears in the image,8
can you segment the area where <ent> are <ent> in the <ent>,7
where is the <ent> located in the <ent>,7
where can we find the <ent> in the ct image,7
can you segment the area where the <ent> is <ent> in the image,7
can you segment the area where the <ent> is <ent>,6
please identify and segment the <ent> in the image,6
can you segment the area with <ent> in the <ent>,6
can you identify and segment any <ent> in the image,6
please identify and segment any <ent> in the image,6
can you segment the area of <ent> in the <ent>,6
could you identify and segment the <ent> in the image,5
can you segment the area with <ent> in the <lat> <ent>,5
can you segment the area with <ent> in the <ent> of the <lat> <ent>,5
please segment where the <ent> in the <ent> are located in the image,5
can you segment the area with <ent>,5
can you segment the area where <ent> is <ent> in the image,5
can you segment the <ent> in the <ent>,5
can you segment the area where the <ent> is <ent> in the <ent>,4
please segment the location of the <ent> in the <ent>,4
can you identify and segment the area with <ent>,4
please segment where the <ent> are <ent> in the <ent>,4
where can the <ent> be <ent> in the image,4
where are the <ent> located in the <ent>,4
can you segment the area with a <ent>,4
where are the <ent> located in the <lat> <ent>,4
can you segment where the <ent> is <ent> in the image,4
please segment where the <ent> is located in the image,4
where are the <ent> located in <ent>,4
please identify and segment the location of the <ent> in the image,4
please segment where the <ent> in the <ent> of the <lat> <ent> is <ent> in the image,4
can you segment the area of <ent> in the <lat> <ent>,4
please identify and segment the <ent> in the ct image,3
can you identify and segment a <ent> for <ent> in the image,3
please segment the area with <ent> in the <ent> of the <lat> <ent>,3
where can we <ent> the <ent> in the ct image,3
can you segment the area <ent> by <ent> in the image,3
can you segment the area where <ent> is <ent> in the <ent>,3
where does <ent> in the image,3
can you locate and segment the <ent> in the ct image,3
please segment where the <ent> is located in the <lat> <ent>,3
where is the <ent> in the <ent>,3
please locate and segment the <ent> in the ct image,3
in which <ent> of the <ent> can the abnormality be <ent>,3
where does the <ent> of <ent> appear in the image,3
can you segment the area with <ent> in the ct image,3
could you identify and segment any <ent> in the image,3
where are the <ent> located in the ct image,3
can you segment where the <ent> is located in the image,3
where is the <ent> located in the ct image,3
could you identify and segment the <ent> in the <ent>,3
where can we find the <ent> of <ent> in the image,3
where do the <ent> appear in the image,3
can you segment the <ent> in the image,3
where can we find the abnormal <ent> in the ct image,3
can you segment where the <ent> are located in <ent>,3
where can we find the <ent> in the <ent>,3
where is the <ent> <lat> <ent> located in the image,3
please segment where the <ent> is <ent> in the <ent>,3
could you identify and segment the <ent> area in the <ent>,3
where is the <ent> of the <ent> located in the image,3
where are the <ent> in the image,3
where is the <ent> in the <lat> <ent> located,3
please segment the location of the <ent> in the <lat> <ent>,3
can you identify and segment the <ent> in the ct image,3
where does the <ent> in the image,3
where can we find <ent> in the ct image,3
please segment where the <lat> <ent> appears in the image,3
can you segment the <ent> in the <lat> <ent> of the <ent>,3
please segment where the <ent> appears in the ct image,3
what <ent> of the <ent> of <ent>,3
where do the <ent> appear in the ct image,2
please segment where the <lat> <ent> is in the image,2
please segment where the <ent> appear in the <lat> <ent>,2
where is the <ent> in the <ent> of the <lat> <ent>,2
can you segment the area where the <ent> is <ent> in the <lat> <ent> of the <ent>,2
please segment where the <ent> with <ent> appears in the image,2
please segment the area with <ent> in the image,2
please segment where the <ent> lesion in the <lat> <ent> is located in the image,2
in which <ent> can we find the <ent>,2
where is the <ent> of <ent> in the image,2
can you segment the area that could <ent> to <ent>,2
please segment where the <ent> are in the <lat> <ent>,2
can you segment the area <ent> by <ent>,2
where does the abnormal lesion appear in the image,2
please segment where the <ent> in the <ent> is located in the image,2
please identify and segment any <ent> within the <ent>,2
can you segment the <ent> lesion in the <lat> <ent>,2
where can we find the <ent> of the <ent> in the ct image,2
please segment where the <ent> is <ent>,2
could you identify and segment the region <ent> in the image,2
can you segment the area with <ent> and <ent> in the <lat> <ent>,2
can you identify and segment any <ent> of <ent> in the image,2
please identify and segment any <ent> in the ct image,2
please segment the area with <ent> in the ct image,2
where can we find the abnormal lesion in the ct image,2
could you locate and segment the <ent> in the <ent>,2
please segment the area with <ent> in the <lat> <ent> of the <ent>,2
please segment where the <ent> is in the <lat> <ent>,2
where is the <ent> lesion <ent> in the image,2
