question_template,count
where does the abnormal lesion appear in the image,2
can you segment the area with fatty liver changes in the image,2
where can we find the abnormal lesion in the ct image,2
please segment where the increased transparency in the lower lobe of the <lat> lung is visible in the image,2
can you segment the area where the <lat> renal calculus is located in the image,2
please segment where the fatty liver appears in the image,2
where can we find the abnormal lesion in this ct image,2
please segment where the multiple bronchiectasis appears in the image,2
can you locate and segment the area affected by emphysema in the ct image,2
please segment the area affected by parapneumonic emphysema,2
where is the small round low density shadow located in the image,2
can you segment the area with multiple linear shadows in the lower lobe of the <lat> lung,2
can you segment the region where a high density shadow is observed in the coronary artery,1
where does the abnormality appear in the image,1
could you locate the area with possible coronary arteriosclerosis in the ct scan,1
please segment and explain the potential cause for the observed high density shadow in the coronary artery region,1
what could be the reason for the increased density in the coronary artery region and can you segment it,1
can you segment the area of the <lat> kidney with a cystic low density lesion in the image,1
please identify and segment the renal cyst in the ct image,1
could you locate and segment the region of the cystic low density area in the ct image,1
are there any abnormalities in the <lat> kidney that could indicate a renal cyst please segment and explain,1
is there a part of the <lat> kidney that may need further medical attention due to its appearance please provide segmentation and an explanation,1
can you segment the area where the patchy opacity is observed in the trachea,1
where do you observe secretions in the image,1
is there any area of concern in the trachea if so please segment it,1
can you identify and segment a possible cause for breathing difficulty in the image,1
what could be causing the patchy opacity in the trachea please output segmentation mask and explain why,1
can you please segment the location of the calcified plaques on the aorta wall,1
could you identify and segment where the multiple calcified plaques are situated in the image,1
where do the atherosclerotic changes appear in the ct image,1
are there any regions indicative of atherosclerosis present in this image please provide segmentation and explain why,1
can you locate and segment the region that may cause restricted blood flow due to plaque buildup explain your reasoning,1
can you segment the area where increased transparency is observed in the <lat> lung upper lobe,1
please identify and segment the multiple round transparent areas in the ct image,1
could you segment the regions that indicate pulmonary emphysema in the ct image,1
which area in the ct image could be causing breathing difficulties for the patient,1
given the report can you segment the region that may lead to reduced lung function,1
please segment the location of the small nodular high density shadow in the prostate,1
can you identify and segment the area with prostatic calcification,1
where can we find the high density shadow in the image,1
is there any indication of a possible benign or malignant growth in the prostate if so please segment the affected area,1
which part of the image may require further investigation for potential health issues please output segmentation mask and explain why,1
please segment where the <lat> subclavian vein catheter insertion is in the image,1
could you identify and segment the area where the surgery was performed,1
can you locate and segment the region where the catheter enters the blood vessel,1
what might be the reason for a visible difference in density near the catheter insertion site,1
are there any potential complications related to the catheter placement that can be visually identified if so please segment them,1
where are the high density foci located in the image,1
can you segment the area where the high density foci appear,1
are there any high density foci present in the stomach or duodenum if yes please indicate their location,1
can you identify any potential postoperative changes in the stomach or duodenum and provide a segmentation mask for these areas,1
given the report s mention of high density foci and postoperative considerations what regions in the image should be carefully analyzed for potential complications,1
where is the high density nodular focus in the gallbladder located in the image,1
can you segment the area with a possible calculus in the gallbladder on the image,1
in which organ can you find the abnormal lesion described in the report,1
what might be causing the high density focus in the gallbladder and where is it located,1
which organ has an abnormal finding that may require further investigation or treatment,1
can you segment the area where the local bulge is present in the fundus of the stomach,1
please identify and segment the region that could potentially be a tumor or diverticulum,1
could you highlight the lesion with the possibility of being a mass in the stomach wall,1
what area should be further investigated for potential malignancy based on the image findings,1
is there any indication of an abnormality in the upper gastrointestinal tract that needs further examination if so please segment it,1
can you segment the area where extensive low density nodule foci are present in the liver,1
please identify and segment the possible location of a metastatic tumor in the image,1
could you highlight the region with abnormal low density nodule foci in the liver,1
can you segment the area that may indicate the presence of a malignant lesion in the liver,1
what area should be further investigated for signs of cancer based on the provided information,1
can you segment the nodular high density shadows in the <lat> lung,1
please segment where the scattered pulmonary proliferation foci appear in the <lat> lung,1
could you identify and segment the largest nodular high density shadow present in the image,1
are there any nodules that may indicate a potential malignancy in the lungs if so please segment them,1
considering the report which regions in the lungs should be closely monitored for further analysis please segment these areas,1
where is the fibrillar shadow seen in the upper lobe of the <lat> lung,1
can you segment where the boundary of the lesion is clear,1
what area is affected by pulmonary fibrosis according to the report,1
please segment and explain the potential cause of a fibrotic change in the lung tissue,1
can you identify any structural changes that might lead to respiratory issues in the image,1
can you segment the area where the low density shadow is present in the <lat> lobe of the thyroid gland,1
please segment the region with clear boundaries suggested for ultrasound examination,1
could you locate and segment the nodule like abnormality observed in the image,1
what area in the image may require further investigation due to its characteristics,1
considering the reported finding which part of the thyroid gland should be examined more closely,1
where is the patchy low density shadow located in the liver,1
can you segment the area where the slightly low density shadow is seen,1
please segment the area suggested for abdominal enhanced ct,1
what abnormality is suggested by the patchy low density shadow in the liver image,1
is it necessary to perform further imaging studies based on the current report,1
can you please segment the area where the osteophyte is seen at the edge of the vertebral body in the spine,1
could you highlight the region affected by spinal degenerative changes in the ct image,1
where can we find the bony growth resulting from degenerative changes in the vertebrae,1
is there any evidence of abnormal bone growth related to degenerative changes in the image and if so where,1
considering common age related spinal conditions can you identify and segment a potential area with structural changes in the vertebral column,1
where does the patchy high density shadow appear in the <lat> lung,1
can you identify the area with inflammation in the ct image,1
which part of the <lat> lung shows an abnormal finding,1
what might cause the patchy high density shadow observed in the ct image,1
considering common medical knowledge what condition could lead to the observed findings in the <lat> lung,1
where is the catheter course visible in the image,1
please segment the area where the pacemaker implantation surgery was performed,1
in which regions does the catheter course extend through in the image,1
can you segment any potential complications related to the pacemaker implantation surgery,1
how might a post surgery complication involving bleeding appear in the image,1
can you segment the area where the calcified lesions in the thoracic aorta are present,1
please segment where the coronary artery wall with multiple calcified lesions appears in the image,1
where can we find the arteriosclerotic changes in the ct image,1
can you identify and segment an area that might indicate cardiovascular disease based on the provided information,1
considering the risk factors for arteriosclerosis what area should be segmented to further investigate potential plaque buildup,1
please segment where the <lat> kidney is in the image,1
