case_id,Mask_ID,region_id,label_id,voxels,empty,D,H,W,zmin,zmax,ymin,ymax,xmin,xmax,bbox_d,bbox_h,bbox_w,centroid_z,centroid_y,centroid_x,centroid_z_norm,centroid_y_norm,centroid_x_norm,slices_covered,surface_voxels,surface_to_volume,components
s0000,2,s0000__2,2,461,0,32,256,256,20.0,28.0,80.0,150.0,91.0,189.0,9.0,71.0,99.0,25.047722342733188,120.88937093275489,147.7418655097614,0.8079910433139738,0.47407596444217603,0.5793798647441624,3.0,461.0,1.0,3.0
s0001,1,s0001__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0001,2,s0001__2,2,152,0,32,256,256,24.0,24.0,151.0,162.0,96.0,110.0,1.0,12.0,15.0,24.0,156.44736842105263,103.03289473684211,0.7741935483870968,0.6135190918472652,0.40405056759545926,1.0,152.0,1.0,1.0
s0001,3,s0001__3,3,4,0,32,256,256,11.0,11.0,156.0,156.0,108.0,111.0,1.0,1.0,4.0,11.0,156.0,109.5,0.3548387096774194,0.611764705882353,0.4294117647058823,1.0,4.0,1.0,1.0
s0002,1,s0002__1,1,62,0,32,256,256,7.0,7.0,120.0,127.0,58.0,67.0,1.0,8.0,10.0,7.0,123.09677419354838,62.95161290322581,0.22580645161290322,0.4827324478178368,0.24686907020872867,1.0,62.0,1.0,1.0
s0003,2,s0003__2,2,228,0,32,256,256,18.0,19.0,109.0,126.0,212.0,221.0,2.0,18.0,10.0,18.403508771929825,117.1140350877193,216.81578947368422,0.5936615732880589,0.4592707258341933,0.8502579979360165,2.0,228.0,1.0,1.0
s0004,1,s0004__1,1,52910,0,32,256,256,5.0,24.0,18.0,212.0,53.0,218.0,20.0,195.0,166.0,15.43916083916084,148.15993195993195,149.56342846342847,0.49803744642454323,0.5810193410193409,0.58652324887619,20.0,37719.0,0.7128898128898129,31.0
s0004,2,s0004__2,2,45600,0,32,256,256,16.0,23.0,57.0,198.0,47.0,227.0,8.0,142.0,181.0,19.94923245614035,149.292850877193,131.925,0.6435236276174306,0.5854621603027176,0.5173529411764707,8.0,27176.0,0.5959649122807018,1.0
s0004,3,s0004__3,3,1386,0,32,256,256,17.0,20.0,77.0,156.0,96.0,175.0,4.0,80.0,80.0,18.26984126984127,127.9891774891775,141.7828282828283,0.5893497183819764,0.5019183430948136,0.556011091305209,4.0,1386.0,1.0,5.0
s0004,4,s0004__4,4,392,0,32,256,256,17.0,17.0,138.0,153.0,84.0,112.0,1.0,16.0,29.0,17.0,145.30867346938774,98.54081632653062,0.5483870967741935,0.5698379351740696,0.38643457382953184,1.0,392.0,1.0,1.0
s0004,5,s0004__5,5,34142,0,32,256,256,13.0,21.0,25.0,96.0,40.0,183.0,9.0,72.0,144.0,17.326665104563293,57.8412219553629,99.99525511100697,0.5589246807923643,0.22682832139358,0.39213825533728225,9.0,13620.0,0.3989221486731884,1.0
s0006,1,s0006__1,1,0,1,32,256,256,,,,,,,,,,,,,,,,,,,
s0009,1,s0009__1,1,3040,0,32,256,256,9.0,31.0,110.0,159.0,78.0,126.0,23.0,50.0,49.0,15.710855263157894,132.9125,107.80263157894737,0.5068017826825127,0.5212254901960784,0.42275541795665633,23.0,2491.0,0.8194078947368421,5.0
s0010,2,s0010__2,2,85,0,32,256,256,19.0,20.0,166.0,175.0,106.0,115.0,2.0,10.0,10.0,19.31764705882353,170.10588235294117,110.52941176470588,0.6231499051233397,0.6670818915801614,0.4334486735870819,2.0,85.0,1.0,1.0
